x:image,y:label
data/a/0_0085.png,10
data/3/3_0053.png,3
data/8/8_0079.png,8
data/7/7_0012.png,7
data/8/8_0076.png,8
data/9/9_0097.png,9
data/7/7_0017.png,7
data/1/1_0056.png,1
data/6/6_0009.png,6
data/7/7_0046.png,7
data/5/5_0066.png,5
data/a/0_0012.png,10
data/0/0_0043.png,0
data/a/0_0001.png,10
data/a/0_0078.png,10
data/a/0_0016.png,10
data/4/4_0017.png,4
data/1/1_0046.png,1
data/5/5_0021.png,5
data/7/7_0030.png,7
data/7/7_0006.png,7
data/6/6_0050.png,6
data/5/5_0003.png,5
data/4/4_0043.png,4
data/1/1_0045.png,1
data/a/0_0068.png,10
data/9/9_0085.png,9
data/6/6_0074.png,6
data/3/3_0042.png,3
data/9/9_0080.png,9
data/2/2_0011.png,2
data/8/8_0018.png,8
data/9/9_0038.png,9
data/2/2_0039.png,2
data/5/5_0076.png,5
data/8/8_0025.png,8
data/8/8_0057.png,8
data/1/1_0067.png,1
data/0/0_0023.png,0
data/2/2_0018.png,2
data/a/0_0031.png,10
data/9/9_0007.png,9
data/3/3_0066.png,3
data/7/7_0077.png,7
data/6/6_0073.png,6
data/9/9_0093.png,9
data/5/5_0058.png,5
data/a/0_0090.png,10
data/a/0_0075.png,10
data/2/2_0061.png,2
data/7/7_0029.png,7
data/9/9_0062.png,9
data/a/0_0027.png,10
data/8/8_0050.png,8
data/8/8_0086.png,8
data/3/3_0039.png,3
data/0/0_0006.png,0
data/9/9_0091.png,9
data/a/0_0092.png,10
data/8/8_0042.png,8
data/3/3_0027.png,3
data/8/8_0010.png,8
data/1/1_0075.png,1
data/6/6_0064.png,6
data/1/1_0042.png,1
data/a/0_00102.png,10
data/a/0_0045.png,10
data/5/5_0028.png,5
data/8/8_0073.png,8
data/1/1_0000.png,1
data/0/0_0047.png,0
data/2/2_0052.png,2
data/8/8_0043.png,8
data/3/3_0046.png,3
data/a/0_0035.png,10
data/1/1_0074.png,1
data/5/5_0068.png,5
data/5/5_0096.png,5
data/3/3_0003.png,3
data/5/5_0089.png,5
data/2/2_0047.png,2
data/a/0_0069.png,10
